UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
211024,1,999,"R",969,"R",543,"R",426,"R",3,"R",2,"R",1,"R",13,"R",7,"R",6,"R",52,"R",34,"R",18,"R",36,"R",20,"R",16,"R",2,"R",1,"R",1,"R",829,"R",455,"R",374,"R",18,"R",10,"R",8,"R",9,"R",7,"R",2,"R",7,"R",7,"Z",0
211024,2,  1,"R",671,"R",334,"R",337,"R",1,"R",1,"Z",0,"R",6,"R",1,"R",5,"R",31,"R",20,"R",11,"R",26,"R",11,"R",15,"R",2,"R",1,"R",1,"R",589,"R",292,"R",297,"R",12,"R",5,"R",7,"R",2,"R",1,"R",1,"R",2,"R",2,"Z",0
211024,4,  3,"R",298,"R",209,"R",89,"R",2,"R",1,"R",1,"R",7,"R",6,"R",1,"R",21,"R",14,"R",7,"R",10,"R",9,"R",1,"Z",0,"Z",0,"Z",0,"R",240,"R",163,"R",77,"R",6,"R",5,"R",1,"R",7,"R",6,"R",1,"R",5,"R",5,"Z",0
211079,1,999,"R",3248,"R",1328,"R",1920,"R",7,"R",5,"R",2,"R",26,"R",11,"R",15,"R",233,"R",97,"R",136,"R",69,"R",23,"R",46,"R",2,"R",1,"R",1,"R",2615,"R",1076,"R",1539,"R",119,"R",45,"R",74,"R",176,"R",70,"R",106,"R",1,"R",0,"R",1
211079,2,  1,"R",3248,"R",1328,"R",1920,"R",7,"R",5,"R",2,"R",26,"R",11,"R",15,"R",233,"R",97,"R",136,"R",69,"R",23,"R",46,"R",2,"R",1,"R",1,"R",2615,"R",1076,"R",1539,"R",119,"R",45,"R",74,"R",176,"R",70,"R",106,"R",1,"R",0,"R",1
211088,1,999,"R",4575,"R",1297,"R",3278,"R",10,"R",5,"R",5,"R",381,"R",102,"R",279,"R",388,"R",123,"R",265,"R",263,"R",80,"R",183,"R",8,"R",4,"R",4,"R",2779,"R",744,"R",2035,"R",132,"R",36,"R",96,"R",370,"R",99,"R",271,"R",244,"R",104,"R",140
211088,2,  1,"R",2543,"R",790,"R",1753,"R",5,"R",3,"R",2,"R",128,"R",34,"R",94,"R",246,"R",82,"R",164,"R",220,"R",70,"R",150,"R",4,"R",1,"R",3,"R",1590,"R",482,"R",1108,"R",108,"R",30,"R",78,"R",144,"R",43,"R",101,"R",98,"R",45,"R",53
211088,4,  3,"R",2032,"R",507,"R",1525,"R",5,"R",2,"R",3,"R",253,"R",68,"R",185,"R",142,"R",41,"R",101,"R",43,"R",10,"R",33,"R",4,"R",3,"R",1,"R",1189,"R",262,"R",927,"R",24,"R",6,"R",18,"R",226,"R",56,"R",170,"R",146,"R",59,"R",87
211130,1,999,"R",310,"R",192,"R",118,"R",1,"R",1,"R",0,"R",40,"R",30,"R",10,"R",71,"R",42,"R",29,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",104,"R",48,"R",56,"R",2,"R",1,"R",1,"R",9,"R",3,"R",6,"R",78,"R",64,"R",14
211130,4,  3,"R",310,"R",192,"R",118,"R",1,"R",1,"R",0,"R",40,"R",30,"R",10,"R",71,"R",42,"R",29,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",104,"R",48,"R",56,"R",2,"R",1,"R",1,"R",9,"R",3,"R",6,"R",78,"R",64,"R",14
